id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23386612,Perfectly located luxury & beautiful apartment,13286840,Axel,,Theaterbuurt-Meir,51.21574,4.40758,Entire home/apt,87,30,29,2023-03-20,0.33,1,169,0,
23392537,Charlie’s Loft (Bed and Breakfast),174166821,Charlotte,,Zuid,51.21014,4.39615,Entire home/apt,224,1,24,2025-09-07,0.45,1,342,14,
23395109,Bright apartment in trendy Antwerp South district,6930093,"Ian, Jande En Marie",,Zuid,51.20776,4.39097,Entire home/apt,76,3,66,2025-06-19,0.71,4,75,3,
23444238,Simone's Kitchen B&B - Deluxe Double Room,110469250,Alistair,,Stadspark,51.207889556884766,4.41521692276001,Private room,89,1,48,2025-08-05,0.53,7,340,9,
23524053,Simone's Kitchen B&B - Double Room,110469250,Alistair,,Stadspark,51.20886,4.41559,Private room,83,1,83,2025-07-24,0.90,7,327,2,
23755415,Feel Home,165968147,Ingrid,,Linkeroever,51.21834,4.38208,Private room,69,1,436,2025-08-16,4.87,1,356,46,
23786630,Modern and spacious studio in the City Centre-70m2,157495101,Tinka,,Historisch Centrum,51.22714,4.40228,Entire home/apt,82,2,278,2025-08-26,3.07,1,61,30,
24112458,Ruime villa met zwembad Wilrijk,9766185,Sofie,,Middelheim,51.17589,4.41333,Entire home/apt,274,90,0,,,1,362,0,
24170223,Penthouse met uniek zicht op Antwerpen 15e etage,8508094,Bert,,Groenenhoek,51.20238,4.4433,Entire home/apt,126,2,3,2025-01-02,0.04,1,5,1,
24340681,Lovely house in trendy location.,43185160,Yan,,Oud - Berchem,51.20089,4.42336,Entire home/apt,153,2,237,2025-09-07,2.66,1,19,19,
24419851,Cosy & spacious apartment at  trendy Antwerp South,22432864,Lenka,,Zuid,51.20753,4.38657,Entire home/apt,83,7,82,2025-05-27,0.91,1,294,12,
24486262,C - Perfecte locatie voor een perfect uitstapje,135610682,Leentje,,Historisch Centrum,51.22003,4.40253,Entire home/apt,79,2,322,2025-09-21,3.66,4,346,33,
24829527,Antwerp South - spatious one bedroom ap. for 2,48602699,Anthony,,Zuid,51.20903,4.38675,Entire home/apt,92,2,41,2025-03-01,0.46,1,319,9,
25023469,Het stulpje,184651827,Hans,,Oud - Berchem,51.19817,4.41595,Entire home/apt,450,2,30,2019-12-08,0.34,1,83,0,
25068907,Antwerpen quiet appartment in green surroundings,50671362,Filip,,Hoboken - Centrum,51.17345,4.35422,Entire home/apt,52,4,68,2025-09-13,0.76,1,43,2,
25148862,Maison Emile - Executive Room,186414084,Yannick,,Nieuw - Zuid,51.20422,4.388,Private room,122,1,2,2022-02-05,0.03,3,308,0,
25150029,Maison Emile - Superior Room,186414084,Yannick,,Nieuw - Zuid,51.20475,4.38782,Private room,110,1,10,2022-10-29,0.12,3,291,0,
25152004,Maison Emile - Comfort Single Room,186414084,Yannick,,Nieuw - Zuid,51.20433,4.38846,Private room,,1,1,2021-12-02,0.02,3,0,0,
25201647,Amazing place in the heart of Antwerp with view,38459356,Anthony,,Historisch Centrum,51.22574,4.40007,Entire home/apt,94,6,12,2019-07-23,0.13,1,21,0,
25493896,Arthur and James Antwerp,5732699,Gert,,Amandus - Atheneum,51.2193,4.42581,Private room,56,3,23,2025-09-14,0.29,1,239,3,
25515794,* Casa Amazing * with lovely garden,52384223,Annelies,,Deurne Zuid West,51.21006,4.45738,Entire home/apt,,1,76,2021-09-19,0.86,2,0,0,
25610607,B&B Arthur and James,192406503,Soufiane,,Amandus - Atheneum,51.21923,4.42517,Private room,,1,1,2018-07-29,0.01,1,0,0,
25960097,"""Pagadder Flat""",193627086,Willy,,Historisch Centrum,51.2216,4.40156,Entire home/apt,,10,43,2024-10-05,0.49,2,0,1,
25973713,Complete house | 14 people | Antwerp City Center,4113286,Kathleen,,Sint-Andries,51.21551,4.3964,Entire home/apt,709,2,73,2025-09-21,0.83,2,242,6,
26023466,Cozy & Spacious Duplex with an Amazing Terrace,195447870,Barbara,,Historisch Centrum,51.22712,4.40483,Entire home/apt,85,1,571,2025-09-23,6.45,3,295,63,
26175436,"Private room, little terrace and Park, in Antwerp",70971751,Dries,,Tentoonstellingswijk,51.19143,4.39752,Private room,,3,11,2024-07-29,0.12,1,0,0,
26181108,Virginie Loveling with quiet and ecological garden,37722028,Zouhra,,Stuivenberg,51.21944,4.43226,Entire home/apt,96,3,82,2025-02-16,0.94,4,2,2,
26298543,"Room Rosalie Loveling, with private bathroom!",37722028,Zouhra,,Stuivenberg,51.221,4.43232,Entire home/apt,68,3,97,2025-06-15,1.10,4,3,8,
26347234,Cosy Antwerp City Center apartment,193627086,Willy,,Historisch Centrum,51.22244,4.40145,Entire home/apt,57,28,18,2025-08-01,0.22,2,199,3,
26592318,Luxurious Condo in Antwerp (incl. Indoor Parking),103833743,Marnik,,Middelheim,51.18304,4.39287,Entire home/apt,201,2,33,2024-07-29,0.38,1,0,0,
26802748,Green urban oasis on car-free courtyard,34449017,Martha,,Borgerhout Intra Muros Zuid,51.21625,4.42953,Entire home/apt,,3,33,2025-07-26,0.38,1,0,4,
27201396,Quiet room in Joyful house,6624049,Hilde,,Deurne Zuid Oost,51.2014942,4.4629384,Private room,60,1,30,2025-09-13,1.24,1,116,11,
27479453,Loft with lovely city garden,166595468,Lien,,Amandus - Atheneum,51.22669,4.41897,Entire home/apt,,2,1,2019-01-02,0.01,1,0,0,
27489768,beautiful and spacious  family apartment,110993942,Rev,,Amandus - Atheneum,51.21999,4.42154,Entire home/apt,238,3,35,2025-08-26,0.40,16,0,8,
27490882,blue and beautiful apartment in Antwerp,110993942,Rev,,Amandus - Atheneum,51.21925,4.42378,Entire home/apt,125,2,10,2022-10-09,0.12,16,0,0,
27564444,comfort  city apartment met balkon in hartje stad,5187214,Koenraad,,Harmonie,51.208656,4.405282,Entire home/apt,71,14,13,2024-04-22,0.16,3,91,0,
27567210,Duplex next to park and Eilandje,7716505,Thomas,,Dam,51.2332,4.42201,Entire home/apt,,2,8,2021-10-03,0.09,1,0,0,
27588529,"Familiekamer-privé badkamer,  B&B Bed, Bad & brood",5187214,Koenraad,,Harmonie,51.208656,4.405282,Private room,92,4,18,2025-07-30,0.21,3,54,8,
27617809,"B&B kamer - privé badkamer in XXL herenhuis, stad",5187214,Koenraad,,Harmonie,51.20958,4.40553,Private room,75,4,23,2025-09-21,0.26,3,56,7,
27625759,Appartement met zicht op jachthaven,56497782,Katrin,,Eilandje,51.2314269,4.4142679,Entire home/apt,99,2,78,2025-09-26,2.90,1,174,28,
27645909,Bright & spacious apartment near Central Station,6898138,Sammy,,Zurenborg,51.21013,4.42641,Entire home/apt,,14,53,2023-07-27,0.62,1,0,0,
27743237,Apartment with own courtyard in historical centre,26424945,Sven,,Universiteitsbuurt,51.220905,4.407016,Entire home/apt,154,2,160,2025-09-27,3.07,2,227,20,
27755042,The Secret Paradise,15780894,Simon,,Universiteitsbuurt,51.2236,4.40628,Private room,,1,346,2025-08-19,4.03,11,18,40,
27851653,"Antwerpen Villa-House Diamond
 💎💎💎💎💎",210338683,Daria,,Ekeren Centrum,51.28097,4.41861,Entire home/apt,181,2,204,2025-07-27,2.39,2,268,16,
27930363,Huize Amoras,210980516,Kathleen,,Sint-Andries,51.21773147583008,4.397923946380615,Entire home/apt,210,2,40,2025-09-21,0.47,2,300,9,
27951988,Zuiderzin,210980516,Kathleen,,Sint-Andries,51.21709060668945,4.395060062408447,Entire home/apt,192,2,12,2024-06-06,0.22,2,338,0,
27997150,"Casa Callista - Boho flat, el Born, bcn",2107935,Emily,,Haringrode,51.20465,4.41685,Entire home/apt,96,6,0,,,1,358,0,
28087662,Little Keizer- Central Independent  Room+Bathroom,26663841,Carlos,,Universiteitsbuurt,51.22201,4.40921,Private room,,2,166,2023-07-31,1.97,1,0,0,
28219481,Antwerpen House,3874708,Mimo,,Stuivenberg,51.22091,4.43646,Private room,350,1,0,,,1,364,0,
28330049,Beautiful authentic appartment - Free parking,5012031,Sanne,,Historisch Centrum,51.22238,4.40156,Entire home/apt,108,1,714,2025-09-13,8.74,2,330,54,
28363835,Charming & unique with spectacular views + terrace,43247005,Rebecca,,Historisch Centrum,51.21979,4.40179,Entire home/apt,140,1,205,2025-09-16,2.39,16,108,30,
28374792,Comfy studio in Antwerp centre,65855928,Jo,,Stadspark,51.20753,4.41091,Entire home/apt,49,10,97,2025-09-01,1.14,5,100,5,
28379011,Charming apartment in Antwerp centre,65855928,Jo,,Stadspark,51.20706,4.41092,Entire home/apt,72,15,122,2025-09-07,1.43,5,233,10,
28401157,A spacious  accommodation 15minsFrom Antwerp city,26368589,Caroline,,Deurne Oost,51.22263,4.48321,Private room,,2,88,2025-08-23,1.03,1,151,6,
28434123,"Pauline Loveling, quiet+lovely garden+2 bathrooms!",37722028,Zouhra,,Stuivenberg,51.22083,4.43078,Entire home/apt,150,2,120,2025-09-24,1.44,4,329,13,
28621534,Bright City Center Hidden Gem! Newly Renovated!,215997412,Viliana,,Universiteitsbuurt,51.22106,4.41609,Entire home/apt,,1,232,2025-08-01,2.72,1,0,3,
28778081,Licht en ruim herenhuis Antwerpen-Zuid,173381402,Anneke,,Brederode,51.20324,4.39226,Entire home/apt,,2,24,2021-08-21,0.29,1,0,0,
28808213,calm and beautiful apartment in Antwerp city,110993942,Rev,,Centraal Station,51.21832,4.42161,Entire home/apt,135,2,36,2023-04-23,0.42,16,0,0,
28808356,calm and cosy apartment in Antwerp city,110993942,Rev,,Amandus - Atheneum,51.21977,4.42142,Entire home/apt,115,2,12,2025-04-21,0.14,16,340,1,
28839558,Antwerp duplex apartment with billiard table,36350256,Kevin,,Borgerhout Intra Muros Zuid,51.21261,4.43217,Entire home/apt,85,2,28,2025-08-10,0.34,1,85,2,
28912521,2-Bed Haven with Patio in Antwerp + Free parking,222831298,Arne,,Harmonie,51.2089,4.40557,Entire home/apt,110,1,217,2025-09-21,2.61,19,161,25,
28931007,Freshly renovated loft Antwerp Downtown (Old Town),115662416,Tom,,Historisch Centrum,51.22061,4.39819,Entire home/apt,82,4,75,2025-09-06,0.93,1,19,12,
29042185,"AAA location ,Romantic studio 1* heart of Antwerp.",59044569,Kevin,,Historisch Centrum,51.21997,4.40014,Entire home/apt,,1,129,2021-01-30,1.53,8,0,0,
29227406,Toffe studio,19889207,Alex,,Historisch Centrum,51.22398,4.40348,Entire home/apt,,2,370,2025-02-23,4.38,4,11,14,
